Epoch,BitcoinCalculatedDifficulty,RealDifficulty,OurCalculatedDifficulty,BitcoinMistake,OurMistake
168,40640988185,43971662056,40219847016,0.0757459171,0.0853234757
169,43971697714,41272873894,44288494540,0.0653897722,0.0730654389
170,41272929633,44455415962,43529900363,0.0715882702,0.0208189616
171,44455418985,46684376316,44771398157,0.0477452524,0.0409768387
172,46684445649,47427554950,46926312957,0.015668303,0.0105685818
173,47427556412,46717549644,50133402079,0.0151978598,0.0731171147
174,46717604548,49446390688,48203649061,0.0551867609,0.025133111
175,49446472981,47610564513,49462962001,0.0385609473,0.0389072784
176,47610607938,47643398017,48619982062,0.0006882397,0.0204977832
177,47643402480,48807487244,48089961844,0.0238505367,0.0147011338
178,48807543744,47589591153,47906037731,0.0255928358,0.0066494914
179,47589645402,49692386354,48188106448,0.0423151534,0.0302718387
180,49692464873,49402014931,49665560820,0.0058793137,0.0053347194
181,49402063078,51076366303,49844557694,0.0327803903,0.0241169977
182,51076433702,52278304845,51982654778,0.0229898645,0.0056553109
183,52278312097,52699842409,52970362757,0.0079987016,0.0051332288
184,52699911388,54256630327,54138070853,0.0286917733,0.002185161
185,54256717467,56957648455,55068456249,0.0474199877,0.0331683673
186,56957649191,59335351233,57946912674,0.0400722671,0.0233998541
187,59335417140,60813224039,61464270263,0.0243007491,0.0107056686
188,60813281229,60883825480,63352588220,0.0011586698,0.0405487454
189,60883906560,62253982449,62811609407,0.0220078433,0.0089572897
190,62254013643,65848255179,63028265639,0.054583702,0.0428255773
191,65848345586,72722780642,66568708435,0.0945293207,0.0846237197
192,72722835197,79102380900,75205122619,0.0806492248,0.0492685332
193,79102447595,93448670796,84336933668,0.1535198209,0.097505262
194,93448690571,103880340815,100075902650,0.1004198693,0.0366232738
195,103880355911,113354299801,114243314177,0.0835781607,0.0078427936
196,113354321148,120033340651,125743348695,0.0556430361,0.0475701835
197,120033378435,144116447847,129986166831,0.1671084028,0.0980476637
198,144116724219,163491654908,152193062061,0.1185071538,0.0691080707
199,163491873682,158427203767,178872765178,0.0319684359,0.1290533502
200,158427219519,165496835118,180156375812,0.0427175275,0.0885789791
201,165496974438,178678307671,172652258937,0.0737713123,0.0337256873
